INSEE;lon;lat
200069425;-1.15;48.64
200071199;3.30;46.00
240700302;4.16;44.52
200067262;-0.62;43.06
200035863;2.67;43.07
246600373;2.78;42.48
200036549;5.58;47.42
200068112;7.39;48.73
200040715;5.72;45.14
200043776;2.12;42.85
241200641;2.46;44.52
246000582;2.09;49.25
200070910;5.09;47.61
245501184;4.99;48.84
242900769;-3.85;47.93
249100553;2.21;48.51
200066603;1.40;45.43
200042943;9.40;42.87
244400644;-2.20;47.34
200042703;4.84;49.08
200069672;2.27;50.36
244400404;-1.59;47.22
243301165;-0.77;44.76
244301016;4.13;45.16
200069433;6.85;48.56
200027100;6.27;43.20
243400769;3.27;43.36
247400047;6.42;46.22
200068369;6.18;48.27
247400740;5.94;45.89
200068120;-4.09;48.05
200035632;-0.03;43.67
240900431;1.57;42.85
248200016;0.89;44.10
200072072;0.95;47.77
244400610;-2.39;47.39
243801255;5.08;45.58
200066413;0.66;49.06
243301371;0.17;44.79
244500542;2.05;48.19
242400935;0.11;45.17
200069482;2.53;50.26
246800676;7.00;47.78
243400520;4.10;43.69
200067486;6.47;49.36
200070092;-0.17;45.00
200067247;-4.08;48.20
200066892;4.61;48.30
200066652;1.25;43.88
200069003;4.41;48.08
249720061;-2.84;41.95
247400724;6.32;46.06
200035442;2.86;50.12
241200625;2.32;44.43
240800862;4.51;49.62
241000488;3.69;48.38
200022986;3.79;43.78
200040954;2.40;50.91
200072080;2.76;46.09
243801073;5.43;45.41
200030633;3.47;50.10
200035202;4.22;46.14
242020105;8.79;42.45
247300668;5.78;45.56
243301389;-0.95;44.95
244400438;-1.60;47.06
247700032;2.83;48.32
200041853;6.21;47.50
240100610;5.06;45.87
246800445;7.38;47.92
246900575;5.05;45.70
200067254;-0.40;43.29
200041614;-0.80;46.10
200069250;4.06;48.28
200066660;3.03;44.96
200036523;0.71;44.57
200066876;4.28;48.94
246800205;6.99;47.90
241200674;2.19;44.46
243200417;0.35;43.93
200068104;5.97;43.42
248700189;1.22;45.54
200084952;0.25;49.56
246000376;2.42;49.38
200043354;-1.19;48.85
243900420;5.67;47.01
200066637;2.97;45.20
200070902;5.38;47.26
247200348;-0.07;47.72
246701064;7.44;48.55
200054781;2.34;48.86
200089456;1.21;49.21
247300676;6.30;45.50
200069227;2.76;47.38
200011773;6.29;46.20
247400773;6.27;45.75
200070951;2.30;50.11
247104094;4.65;46.69
200066645;1.85;45.58
240200592;3.73;49.45
200023620;1.05;43.59
240900464;1.83;42.90
242900561;-3.79;48.18
200043321;3.71;50.23
200065563;-0.10;49.23
249100595;2.04;48.52
242400752;0.94;45.47
200066405;0.78;49.34
242010056;8.78;41.98
241501089;2.65;44.97
246100663;0.07;48.46
200066884;1.55;44.03
200040764;9.18;41.53
200069235;1.99;50.54
243200425;0.32;43.54
241200658;2.68;44.27
246200380;1.70;50.83
249720053;-2.68;41.81
200065787;0.58;49.35
200070969;2.45;49.75
200040947;2.56;50.75
240100883;5.34;45.89
247700065;3.04;49.04
200041887;5.77;47.30
200044691;-4.37;42.20
200067288;-0.87;43.40
246600399;1.94;42.49
248200057;1.52;44.19
200068377;6.56;47.99
200070936;1.84;50.22
240100891;5.79;46.12
241400514;-0.19;48.92
200030674;0.22;44.47
200055481;1.40;47.78
243301181;-0.41;45.14
200000545;3.71;48.50
200070928;2.75;49.83
200042729;-1.28;49.34
200059392;5.23;45.38
200030435;-0.30;43.69
246701098;7.63;48.94
244000808;-0.52;43.92
200070712;3.59;45.85
200041416;-0.15;46.81
200069052;6.90;47.63
200067296;-0.16;43.37
240300657;2.42;46.43
200066462;0.88;48.83
200066678;2.29;44.83
